id;latitude;longitude;room_type;price;minimum_nights;number_of_reviews;calculated_host_listings_count;availability_365;city
2183117;42,35159;-71,13347;Entire home/apt;125;30;48;1;149;Boston
2215762;42,34303;-71,07305;Entire home/apt;142;5;29;7;117;Boston
2219399;42,30073;-71,11431;Private room;112;2;182;1;301;Boston
2256444;42,30942;-71,1171;Entire home/apt;175;2;14;1;51;Boston
2277821;42,34877;-71,08418;Entire home/apt;357;2;172;16;350;Boston
2292495;42,34032;-71,07572;Entire home/apt;75;28;69;6;294;Boston
2372987;42,33671;-71,07546;Entire home/apt;144;28;88;99;16;Boston
2378421;42,31144;-71,11864;Entire home/apt;144;2;130;3;55;Boston
2395326;42,34568;-71,07169;Entire home/apt;189;2;407;2;12;Boston
2410846;42,35777;-71,06218;Entire home/apt;90;91;35;1;279;Boston
2495047;42,34309;-71,07316;Entire home/apt;182;4;29;7;114;Boston
2526773;42,3438;-71,1563;Entire home/apt;52;91;14;2;273;Boston
2583074;42,27965;-71,13606;Private room;40;2;40;3;184;Boston
2658094;42,36597;-71,05271;Entire home/apt;160;28;143;4;304;Boston
2701124;42,34507;-71,08601;Entire home/apt;280;3;77;1;339;Boston
2747654;42,35033;-71,065;Entire home/apt;97;10;177;11;365;Boston
2754975;42,35757;-71,06366;Entire home/apt;150;180;100;1;1;Boston
2798599;42,37407;-71,06016;Entire home/apt;149;91;52;1;11;Boston
2843445;42,28195;-71,14102;Private room;85;91;75;2;365;Boston
2881388;42,34877;-71,08418;Entire home/apt;472;2;184;16;360;Boston
2886933;42,26118;-71,11989;Entire home/apt;229;2;93;1;1;Boston
2892825;42,31018;-71,08543;Entire home/apt;500;28;14;3;337;Boston
2943438;42,35042;-71,09295;Entire home/apt;175;91;8;1;365;Boston
3068453;42,35188;-71,06418;Entire home/apt;63;10;194;11;353;Boston
3164650;42,23597;-71,13151;Entire home/apt;98;91;33;8;276;Boston
3193484;42,28819;-71,06921;Private room;40;30;7;25;359;Boston
3294152;42,31503;-71,06214;Entire home/apt;120;91;202;5;365;Boston
3309941;42,34411;-71,1013;Entire home/apt;229;29;28;40;172;Boston
3343428;42,32953;-71,09275;Private room;115;2;235;6;179;Boston
3344322;42,31322;-71,0617;Private room;70;91;93;5;365;Boston
3493840;42,305;-71,10719;Private room;98;31;7;1;243;Boston
3520353;42,3578;-71,06304;Entire home/apt;188;91;251;1;284;Boston
3522237;42,30582;-71,08273;Private room;44;3;81;2;362;Boston
3539510;42,32213;-71,06094;Entire home/apt;58;32;31;42;306;Boston
3575220;42,28028;-71,13587;Private room;50;2;23;3;304;Boston
3602379;42,32909;-71,09457;Entire home/apt;167;91;254;4;365;Boston
3656168;42,31676;-71,08;Private room;38;91;6;31;365;Boston
3677662;42,35573;-71,13072;Private room;59;29;53;1;317;Boston
3693850;42,29899;-71,11176;Private room;74;29;221;2;243;Boston
3705824;42,31676;-71,08;Private room;33;91;0;31;365;Boston
3749523;42,37191;-71,06333;Entire home/apt;250;32;275;1;218;Boston
3783090;42,34496;-71,10453;Entire home/apt;185;91;179;1;90;Boston
3820516;42,37754;-71,06641;Private room;210;2;2;2;123;Boston
